NAME,DESCONT,PRICE,RATING,RELEASE,ENDS,STARTED
Finding Teddy,-80%,"R$ 2,79",77.73%,Dec 2013,2024-05-27 14:00:00,2024-05-13 14:21:27
Tales of Maj'Eyal,-50%,"R$ 6,99",92.20%,Dec 2012,2024-05-20 14:00:00,2024-05-13 14:21:27
Marc Eckō's Getting Up: Contents Under Pressure,-90%,"R$ 4,69",85.20%,Feb 2006,2024-05-23 14:00:00,2024-05-16 14:01:24
Lifeless Planet Premier Edition,-60%,"R$ 25,59",74.13%,Jun 2014,2024-05-20 14:00:00,2024-05-06 14:21:27
Darkest Dungeon®,-85%,"R$ 11,09",90.42%,Jan 2016,2024-05-20 14:00:00,2024-05-13 14:21:27
3089 -- Futuristic Action RPG,-75%,"R$ 5,87",67.15%,Jan 2014,2024-05-20 14:00:00,2024-05-13 14:21:27
War of the Human Tanks,-50%,"R$ 16,49",81.17%,Sep 2012,2024-05-27 14:00:00,2024-05-16 14:01:24
Pixel Piracy,-80%,"R$ 9,39",64.66%,Apr 2015,2024-05-20 14:00:00,2024-05-13 14:21:27
WazHack,-69%,"R$ 5,26",83.31%,Feb 2014,2024-05-20 14:00:00,2024-05-13 14:21:27
One Finger Death Punch,-78%,"R$ 1,86",95.38%,Mar 2014,2024-05-20 14:00:00,2024-05-13 14:21:27
Guns n Zombies,-89%,"R$ 2,91",66.97%,Oct 2014,2024-05-20 14:00:00,2024-05-13 14:21:27
Deadly 30,-86%,"R$ 2,37",73.57%,Jan 2014,2024-05-22 14:00:00,2024-05-15 14:01:24
Rogue's Tale,-50%,"R$ 11,75",69.32%,Mar 2014,2024-05-20 14:00:00,2024-05-13 14:21:28
LYNE,-60%,"R$ 4,19",92.69%,Mar 2014,2024-05-20 14:00:00,2024-05-13 14:21:28
One Way Heroics,-69%,"R$ 1,85",90.48%,Feb 2014,2024-05-20 14:00:00,2024-05-13 14:21:28
Heat Signature,-60%,"R$ 11,19",91.57%,Sep 2017,2024-05-20 14:00:00,2024-05-13 14:21:28
Mechanic Escape,-80%,"R$ 2,49",80.64%,Apr 2014,2024-05-27 14:00:00,2024-05-13 14:21:28
Magicite,-50%,"R$ 10,34",82.81%,Jun 2014,2024-05-20 14:00:00,2024-05-13 14:21:28
Hero Siege,-80%,"R$ 5,29",68.74%,Jan 2014,2024-05-20 14:00:00,2024-05-13 14:21:28
